window,phase,policy,remote,local,batch_ms,cost_units,reconfigured
108,host_contention,phase_oracle,7,2,636.8654139324163,5063.865295818089,0
109,host_contention,one_shot_stable,0,8,1500.808821764888,7444.011755953845,0
109,host_contention,change_aware,7,2,629.6029566779645,5006.119806035402,0
109,host_contention,phase_oracle,7,2,629.6029566779645,5006.119806035402,0
110,host_contention,one_shot_stable,0,8,1531.162783564407,7594.567406479458,0
110,host_contention,change_aware,7,2,642.3367198453434,5107.368923946049,0
110,host_contention,phase_oracle,7,2,642.3367198453434,5107.368923946049,0
111,host_contention,one_shot_stable,0,8,1510.9713867450594,7494.418078255494,0
111,host_contention,change_aware,7,2,633.8662451569218,5040.018206077807,0
111,host_contention,phase_oracle,7,2,633.8662451569218,5040.018206077807,0
112,host_contention,one_shot_stable,0,8,1525.4879856137193,7566.420408644048,0
112,host_contention,change_aware,7,2,639.95609046971,5088.439985093744,0
112,host_contention,phase_oracle,7,2,639.95609046971,5088.439985093744,0
113,host_contention,one_shot_stable,0,8,1514.6612411446713,7512.719756077569,0
113,host_contention,change_aware,7,2,635.4141726517609,5052.326138256379,0
113,host_contention,phase_oracle,7,2,635.4141726517609,5052.326138256379,0
114,host_contention,one_shot_stable,0,8,1509.9689269771516,7489.445877806672,0
114,host_contention,change_aware,7,2,633.4457041628441,5036.674386647844,0
114,host_contention,phase_oracle,7,2,633.4457041628441,5036.674386647844,0
115,host_contention,one_shot_stable,0,8,1508.4708432816708,7482.0153826770875,0
115,host_contention,change_aware,7,2,632.8172444214384,5031.677356812807,0
115,host_contention,phase_oracle,7,2,632.8172444214384,5031.677356812807,0
116,host_contention,one_shot_stable,0,8,1523.0694824268037,7554.424632836946,0
116,host_contention,change_aware,7,2,638.9415063766965,5080.3727905721,0
116,host_contention,phase_oracle,7,2,638.9415063766965,5080.3727905721,0
117,host_contention,one_shot_stable,0,8,1505.7590713260156,7468.564993777038,0
117,host_contention,change_aware,7,2,631.6796314114688,5022.631930706707,0
117,host_contention,phase_oracle,7,2,631.6796314114688,5022.631930706707,0
118,host_contention,one_shot_stable,0,8,1523.2370275266378,7555.255656532124,0
118,host_contention,change_aware,7,2,639.0117930705795,5080.931656451963,0
118,host_contention,phase_oracle,7,2,639.0117930705795,5080.931656451963,0
119,host_contention,one_shot_stable,0,8,1529.2157867265764,7584.910302163819,0
119,host_contention,change_aware,7,2,641.5199369560349,5100.874492882745,0
119,host_contention,phase_oracle,7,2,641.5199369560349,5100.874492882745,0
120,host_contention,one_shot_stable,0,8,1525.7514208610417,7567.727047470767,0
120,host_contention,change_aware,7,2,640.0666039529746,5089.318703548822,0
120,host_contention,phase_oracle,7,2,640.0666039529746,5089.318703548822,0
121,host_contention,one_shot_stable,0,8,1532.6460729611167,7601.924521887139,0
121,host_contention,change_aware,7,2,642.9589732438004,5112.316605702223,0
121,host_contention,phase_oracle,7,2,642.9589732438004,5112.316605702223,0
122,host_contention,one_shot_stable,0,8,1523.8093667348635,7558.094459004923,0
122,host_contention,change_aware,7,2,639.2518945761783,5082.8407594666305,0
122,host_contention,phase_oracle,7,2,639.2518945761783,5082.8407594666305,0
123,host_contention,one_shot_stable,0,8,1500.0436652190067,7440.216579486273,0
123,host_contention,change_aware,7,2,629.2819665447629,5003.5675386956145,0
123,host_contention,phase_oracle,7,2,629.2819665447629,5003.5675386956145,0
124,host_contention,one_shot_stable,0,8,1526.0982470097351,7569.447305168286,0
124,host_contention,change_aware,7,2,640.2121006781431,5090.475581911373,0
124,host_contention,phase_oracle,7,2,640.2121006781431,5090.475581911373,0
125,host_contention,one_shot_stable,0,8,1513.0033826394765,7504.4967778918035,0
125,host_contention,change_aware,7,2,634.7186859238797,5046.796161234588,0
125,host_contention,phase_oracle,7,2,634.7186859238797,5046.796161234588,0
126,host_contention,one_shot_stable,0,8,1512.8117141374778,7503.54610212189,0
126,host_contention,change_aware,7,2,634.6382792432883,5046.156828982449,0
126,host_contention,phase_oracle,7,2,634.6382792432883,5046.156828982449,0
127,host_contention,one_shot_stable,0,8,1515.9864489643319,7519.292786863086,0
127,host_contention,change_aware,7,2,635.9701093902521,5056.746520797383,0
127,host_contention,phase_oracle,7,2,635.9701093902521,5056.746520797383,0
128,host_contention,one_shot_stable,0,8,1513.6937772273927,7507.921135047868,0
128,host_contention,change_aware,7,2,635.0083127354515,5049.099051496442,0
128,host_contention,phase_oracle,7,2,635.0083127354515,5049.099051496442,0
129,host_contention,one_shot_stable,0,8,1525.2694449782346,7565.336447092043,0
129,host_contention,change_aware,7,2,639.8644106846102,5087.711017761026,0
129,host_contention,phase_oracle,7,2,639.8644106846102,5087.711017761026,0
130,host_contention,one_shot_stable,0,8,1497.9090020882693,7429.628650357816,0
